hour,clicks,E400,E401,E403,E404,E405,E409,E416,E500,E501,E502,E503
2014-01-01 00:00:00,4041,0,0,1,2,0,0,0,0,0,0,0
2014-01-01 01:00:00,2402,0,0,1,3,0,0,0,0,0,0,0
2014-01-01 02:00:00,1572,0,0,2,0,0,0,0,0,0,0,0
2014-01-01 03:00:00,778,0,0,0,3,0,0,0,0,0,0,0
2014-01-01 04:00:00,879,0,0,0,0,0,0,0,0,0,0,0
2014-01-01 05:00:00,521,0,0,0,1,0,0,0,0,0,0,0
2014-01-01 06:00:00,930,0,0,0,1,0,0,0,0,0,0,0
2014-01-01 07:00:00,1499,0,0,1,2,0,0,0,0,0,0,0
2014-01-01 08:00:00,2469,0,0,1,11,0,0,0,0,0,0,0
2014-01-01 09:00:00,3162,0,0,2,8,0,0,0,0,0,0,0
2014-01-01 10:00:00,8094,0,0,6,13,0,0,0,0,0,0,0
2014-01-01 11:00:00,10514,1,0,4,15,0,0,0,0,0,0,0
2014-01-01 12:00:00,14519,0,0,4,23,0,0,0,0,0,0,0
2014-01-01 13:00:00,15108,0,0,5,27,0,0,0,0,0,0,0
2014-01-01 14:00:00,15026,0,0,0,31,0,0,0,1,0,1,0
2014-01-01 15:00:00,16563,4,0,2,46,0,0,0,0,0,0,0
2014-01-01 16:00:00,15832,2,0,6,35,0,0,0,0,0,0,0
2014-01-01 17:00:00,16834,0,0,5,22,0,0,0,1,0,0,0
2014-01-01 18:00:00,16082,0,0,4,18,0,0,0,3,0,0,0
2014-01-01 19:00:00,16787,2,0,1,31,0,0,0,5,0,0,0
2014-01-01 20:00:00,18605,8,0,7,26,0,0,0,1,0,0,0
2014-01-01 21:00:00,19141,0,0,7,21,0,0,0,1,0,0,0
2014-01-01 22:00:00,17232,0,0,6,14,0,0,0,0,0,1,0
2014-01-01 23:00:00,15751,0,0,5,6,0,0,0,3,0,0,0
2014-01-02 00:00:00,8679,0,0,3,0,0,0,0,0,0,1,0
2014-01-02 01:00:00,4693,0,0,2,4,0,0,0,0,0,0,0
2014-01-02 02:00:00,3266,0,0,1,3,0,0,0,2,0,0,0
2014-01-02 03:00:00,2049,0,0,0,0,0,0,0,0,0,0,0
2014-01-02 04:00:00,819,0,0,0,0,0,0,0,0,0,0,0
2014-01-02 05:00:00,943,0,0,1,0,0,0,0,0,0,0,0
2014-01-02 06:00:00,2549,0,0,0,5,0,0,0,3,0,0,0
2014-01-02 07:00:00,6084,0,0,0,22,0,0,0,3,0,0,0
2014-01-02 08:00:00,12458,0,0,2,35,0,0,0,0,0,0,0
2014-01-02 09:00:00,25908,0,0,6,105,0,0,0,1,0,0,0
2014-01-02 10:00:00,28591,0,0,3,110,0,0,0,2,0,0,0
2014-01-02 11:00:00,31998,5,0,15,83,0,0,0,1,0,0,0
2014-01-02 12:00:00,38150,2,1,12,60,0,0,0,1,0,0,0
2014-01-02 13:00:00,42147,1,0,3,75,0,0,0,2,0,0,0
2014-01-02 14:00:00,39208,5,0,4,94,0,0,0,2,0,0,0
2014-01-02 15:00:00,34538,0,0,6,78,0,0,0,3,0,0,0
2014-01-02 16:00:00,31399,0,0,20,54,0,0,0,2,0,0,0
2014-01-02 17:00:00,26677,0,0,17,55,0,0,0,0,0,0,0
2014-01-02 18:00:00,22739,0,0,5,42,0,0,0,0,0,0,0
2014-01-02 19:00:00,25560,1,0,4,29,0,0,0,1,0,0,0
2014-01-02 20:00:00,26936,0,0,2,13,0,0,0,1,0,1,0
2014-01-02 21:00:00,21917,0,0,5,41,0,0,0,1,0,0,0
2014-01-02 22:00:00,22393,0,0,9,23,0,0,0,0,0,0,0
2014-01-02 23:00:00,17561,0,0,2,21,0,0,0,1,0,0,0
2014-01-03 00:00:00,10760,0,0,8,12,0,0,0,0,0,0,0
2014-01-03 01:00:00,7463,0,0,3,13,0,0,0,0,0,0,0
2014-01-03 02:00:00,2398,0,0,2,0,0,0,0,0,0,0,0
2014-01-03 03:00:00,2460,0,0,2,6,0,0,0,0,0,0,0
2014-01-03 04:00:00,652,0,0,0,0,0,0,0,0,0,0,0
2014-01-03 05:00:00,1208,0,0,1,2,0,0,0,1,0,0,0
2014-01-03 06:00:00,1862,3,0,0,3,0,0,0,0,0,0,0
2014-01-03 07:00:00,3590,0,0,0,7,0,0,0,0,0,0,0
2014-01-03 08:00:00,11382,0,0,1,31,0,0,0,0,0,0,0
2014-01-03 09:00:00,18674,4,0,21,53,0,0,0,1,0,0,0
2014-01-03 10:00:00,27464,4,0,65,78,0,0,0,0,0,0,0
2014-01-03 11:00:00,29778,5,0,7,63,0,0,0,2,0,0,0
2014-01-03 12:00:00,38998,1,2,6,69,0,0,0,0,0,0,0
2014-01-03 13:00:00,45950,7,0,135,86,0,0,0,0,0,0,0
2014-01-03 14:00:00,41625,7,0,16,86,0,0,0,4,0,0,0
2014-01-03 15:00:00,34776,0,0,11,67,0,0,0,3,0,0,0
2014-01-03 16:00:00,29830,3,1,10,48,0,0,0,2,0,0,0
2014-01-03 17:00:00,25851,0,2,10,49,0,0,0,1,0,0,0
2014-01-03 18:00:00,22364,0,0,15,25,0,0,0,0,0,0,0
2014-01-03 19:00:00,22532,1,0,12,29,0,0,0,0,0,0,0
2014-01-03 20:00:00,22458,0,0,17,24,0,0,0,0,0,0,0
2014-01-03 21:00:00,20284,0,0,9,15,0,0,0,0,0,0,0
2014-01-03 22:00:00,17635,0,0,3,9,0,0,0,1,0,0,0
2014-01-03 23:00:00,16677,0,1,11,13,0,0,0,0,0,1,0
2014-01-04 00:00:00,8703,0,0,3,5,0,0,0,0,0,0,0
2014-01-04 01:00:00,6045,0,0,4,8,0,0,0,0,0,0,0
2014-01-04 02:00:00,3660,0,0,2,3,0,0,0,0,0,0,0
2014-01-04 03:00:00,1981,0,0,0,45,0,0,0,0,0,0,0
2014-01-04 04:00:00,1279,0,0,1,91,0,0,0,2,0,0,0
2014-01-04 05:00:00,1673,0,0,0,21,0,0,0,0,0,0,1
2014-01-04 06:00:00,2229,0,0,0,2,0,0,0,0,0,0,0
2014-01-04 07:00:00,2412,0,0,1,4,0,0,0,0,0,0,0
2014-01-04 08:00:00,6240,2,0,1,14,0,0,0,0,0,0,0
2014-01-04 09:00:00,10267,0,0,2,22,0,0,0,0,0,0,0
2014-01-04 10:00:00,14732,0,0,6,25,0,0,0,0,0,0,0
2014-01-04 11:00:00,19972,2,0,1,22,0,0,1,2,0,1,0
2014-01-04 12:00:00,22366,11,0,3,58,0,0,0,0,0,1,0
2014-01-04 13:00:00,18903,8,0,5,26,0,0,0,2,0,0,0
2014-01-04 14:00:00,22340,1,0,4,33,0,0,0,1,0,0,0
2014-01-04 15:00:00,22745,1,0,12,35,0,0,0,1,0,1,0
2014-01-04 16:00:00,22846,0,0,4,42,0,0,0,0,0,0,0
2014-01-04 17:00:00,17692,4,0,3,15,0,0,0,1,0,0,0
2014-01-04 18:00:00,18303,5,2,3,31,0,0,0,0,0,0,0
2014-01-04 19:00:00,14932,0,1,3,22,0,0,0,0,0,0,0
2014-01-04 20:00:00,14246,0,0,7,27,0,0,0,0,0,0,0
2014-01-04 21:00:00,13488,1,0,4,10,0,0,0,1,0,3,0
2014-01-04 22:00:00,12800,0,0,2,16,0,0,0,1,0,0,0
2014-01-04 23:00:00,11356,0,0,10,26,0,0,0,0,0,0,0
2014-01-05 00:00:00,7733,0,0,1,50,0,0,0,0,0,0,0
2014-01-05 01:00:00,4340,0,0,0,3,0,0,0,0,0,0,0
2014-01-05 02:00:00,3125,0,0,1,0,0,0,0,0,0,0,0
2014-01-05 03:00:00,1659,0,0,0,3,0,0,0,0,0,0,0
2014-01-05 04:00:00,1116,0,0,0,4,0,0,0,0,0,0,0
2014-01-05 05:00:00,1295,0,0,0,3,0,0,0,0,0,0,0
2014-01-05 06:00:00,2028,0,0,0,5,0,0,0,0,0,0,0
2014-01-05 07:00:00,3251,0,0,3,12,0,0,0,0,0,0,0
2014-01-05 08:00:00,5093,0,0,3,12,0,0,0,0,0,0,0
2014-01-05 09:00:00,7021,0,0,3,10,0,0,0,0,0,0,0
2014-01-05 10:00:00,12562,1,3,4,21,0,0,0,0,0,0,0
2014-01-05 11:00:00,16868,0,0,6,41,0,0,0,1,0,0,0
2014-01-05 12:00:00,18352,3,0,5,22,0,0,0,4,0,0,0
2014-01-05 13:00:00,21047,5,0,10,43,0,0,0,3,0,0,0
2014-01-05 14:00:00,26015,3,0,20,75,0,0,0,0,0,0,0
2014-01-05 15:00:00,24641,8,0,28,33,0,0,0,2,0,0,0
2014-01-05 16:00:00,27812,1,1,31,50,0,0,0,1,0,0,0
2014-01-05 17:00:00,26962,0,0,5,30,0,0,0,0,0,0,0
2014-01-05 18:00:00,23695,9,1,35,35,0,0,0,2,0,0,0
2014-01-05 19:00:00,25353,0,0,6,47,0,0,0,0,0,1,0
2014-01-05 20:00:00,24297,0,1,21,26,0,0,2,0,0,0,0
2014-01-05 21:00:00,21044,0,0,8,26,0,0,0,1,0,1,0
2014-01-05 22:00:00,19633,5,0,17,27,0,0,0,0,0,0,0
2014-01-05 23:00:00,17353,0,0,10,21,0,0,0,0,0,0,0
2014-01-06 00:00:00,9861,0,0,3,10,0,0,0,0,0,0,0
2014-01-06 01:00:00,6606,0,0,3,9,0,0,0,2,0,0,0
2014-01-06 02:00:00,3591,0,0,1,3,0,0,0,0,0,0,0
2014-01-06 03:00:00,2116,0,0,0,4,0,0,0,0,0,0,0
2014-01-06 04:00:00,1754,0,0,0,3,0,0,0,0,0,0,0
2014-01-06 05:00:00,1338,0,1,0,2,0,0,0,0,0,0,0
2014-01-06 06:00:00,2673,0,0,0,3,0,0,0,1,0,0,0
2014-01-06 07:00:00,9878,0,0,3,32,0,0,0,0,0,0,0
2014-01-06 08:00:00,32041,1,0,5,89,0,0,0,0,0,0,0
2014-01-06 09:00:00,36390,2,0,12,85,0,0,0,0,0,0,0
2014-01-06 10:00:00,45127,0,0,18,112,0,0,0,0,0,0,0
2014-01-06 11:00:00,56314,3,0,19,159,0,0,0,0,0,0,0
2014-01-06 12:00:00,53343,1,0,28,180,0,0,0,0,0,0,0
2014-01-06 13:00:00,63925,0,2,17,148,0,0,0,0,0,0,0
2014-01-06 14:00:00,55866,0,0,10,186,0,0,0,0,0,0,0
2014-01-06 15:00:00,58661,4,1,9,155,0,0,0,1,0,0,0
2014-01-06 16:00:00,47873,4,0,26,111,0,0,0,0,0,1,0
2014-01-06 17:00:00,39708,8,0,20,95,0,0,0,0,0,0,0
2014-01-06 18:00:00,28234,4,1,25,45,0,0,0,0,0,0,0
2014-01-06 19:00:00,25429,3,0,26,30,0,0,0,0,0,0,0
2014-01-06 20:00:00,28463,0,0,48,44,0,0,0,0,0,0,0
2014-01-06 21:00:00,23690,12,0,11,35,0,0,0,4,0,0,0
2014-01-06 22:00:00,25015,4,0,3,41,0,0,0,7,0,1,0
2014-01-06 23:00:00,17367,0,0,3,18,0,0,0,1,0,0,0
2014-01-07 00:00:00,10893,0,0,2,10,0,0,0,0,0,0,0
2014-01-07 01:00:00,7004,0,0,5,4,0,0,0,0,0,0,0
2014-01-07 02:00:00,3542,0,0,1,0,0,0,0,0,0,0,0
2014-01-07 03:00:00,2233,3,0,1,1,0,0,0,1,0,0,0
2014-01-07 04:00:00,2325,0,0,1,9,0,0,0,0,0,0,0
2014-01-07 05:00:00,1961,0,0,0,7,0,0,0,0,0,0,0
2014-01-07 06:00:00,2788,0,0,1,8,0,0,0,0,0,0,0
2014-01-07 07:00:00,8463,0,0,2,30,0,0,0,0,0,0,0
2014-01-07 08:00:00,23252,3,0,3,90,0,0,0,1,0,0,0
2014-01-07 09:00:00,39745,7,0,12,127,0,0,0,0,0,0,0
2014-01-07 10:00:00,64765,0,1,8,199,0,0,0,3,0,0,0
2014-01-07 11:00:00,54802,2,0,7,241,0,0,0,7,0,0,0
2014-01-07 12:00:00,49676,0,1,14,157,0,0,2,1,0,0,0
2014-01-07 13:00:00,52773,0,1,11,147,0,0,0,0,0,0,0
2014-01-07 14:00:00,47356,1,0,8,98,0,0,0,0,0,0,0
2014-01-07 15:00:00,47810,16,1,16,113,0,0,0,2,0,0,0
2014-01-07 16:00:00,46600,1,1,15,91,0,0,0,1,0,0,0
2014-01-07 17:00:00,35721,2,0,32,57,0,0,0,1,0,0,0
2014-01-07 18:00:00,29967,1,0,42,56,0,0,0,0,0,1,0
2014-01-07 19:00:00,30449,1,0,54,47,0,0,0,1,0,0,0
2014-01-07 20:00:00,29397,0,0,12,36,0,0,0,3,0,2,0
2014-01-07 21:00:00,29364,0,0,7,49,0,0,0,2,0,0,0
2014-01-07 22:00:00,22050,0,0,10,13,0,0,0,0,0,0,0
2014-01-07 23:00:00,22636,0,0,4,18,0,0,0,0,0,0,0
2014-01-08 00:00:00,13193,0,0,2,17,0,0,0,0,0,0,0
2014-01-08 01:00:00,7540,0,0,4,12,0,0,0,0,0,0,0
2014-01-08 02:00:00,4341,0,0,1,6,0,0,0,0,0,0,0
2014-01-08 03:00:00,2570,0,0,0,2,0,0,0,0,0,0,0
2014-01-08 04:00:00,2088,0,0,1,3,0,0,0,0,0,0,0
2014-01-08 05:00:00,2244,0,0,1,1,0,0,0,0,0,0,0
2014-01-08 06:00:00,3180,0,0,1,16,0,0,0,0,0,0,0
2014-01-08 07:00:00,8323,3,0,2,20,0,0,0,0,0,0,0
2014-01-08 08:00:00,30496,2,0,2,100,0,0,0,7,0,0,0
2014-01-08 09:00:00,34873,2,0,5,95,0,0,0,2,0,0,0
2014-01-08 10:00:00,46580,0,0,37,108,0,0,0,0,0,0,0
2014-01-08 11:00:00,52983,4,0,27,144,0,0,0,2,0,0,0
2014-01-08 12:00:00,47522,0,0,22,127,0,0,0,2,0,2,0
2014-01-08 13:00:00,61226,2,0,21,111,0,0,0,1,0,0,0
2014-01-08 14:00:00,68445,7,0,32,113,0,0,0,0,0,0,0
2014-01-08 15:00:00,61988,13,0,16,109,0,0,0,3,0,0,0
2014-01-08 16:00:00,61814,13,0,21,102,0,0,0,1,0,0,0
2014-01-08 17:00:00,44548,0,0,9,78,0,0,0,0,0,0,0
2014-01-08 18:00:00,30580,0,0,6,42,0,0,0,2,0,0,0
2014-01-08 19:00:00,30129,2,1,6,48,0,0,0,1,0,0,0
2014-01-08 20:00:00,29996,0,0,28,41,0,0,0,4,0,0,0
2014-01-08 21:00:00,30163,0,0,10,40,0,0,0,1,0,0,0
2014-01-08 22:00:00,23336,6,0,15,43,0,0,0,3,0,0,0
2014-01-08 23:00:00,22940,1,0,15,21,0,0,0,1,0,0,0
2014-01-09 00:00:00,9752,0,0,2,22,0,0,0,0,0,0,0
2014-01-09 01:00:00,7653,2,0,0,3,0,0,0,0,0,1,0
2014-01-09 02:00:00,4496,0,0,0,12,0,0,0,0,0,0,0
2014-01-09 03:00:00,2078,3,0,0,6,0,0,0,0,0,0,0
2014-01-09 04:00:00,1825,0,0,0,2,0,0,0,0,0,0,0
2014-01-09 05:00:00,2410,0,0,0,4,0,0,0,0,0,0,0
2014-01-09 06:00:00,3323,0,0,2,6,0,0,0,1,0,0,0
2014-01-09 07:00:00,11585,0,0,2,39,0,0,0,0,0,0,0
2014-01-09 08:00:00,27667,0,1,8,91,0,0,0,5,0,0,0
2014-01-09 09:00:00,33095,3,0,8,80,0,0,0,0,0,0,0
2014-01-09 10:00:00,45314,1,0,8,94,0,0,0,3,0,0,0
2014-01-09 11:00:00,48213,7,0,8,140,0,0,0,5,0,0,0
2014-01-09 12:00:00,48682,2,0,28,87,0,0,0,5,0,0,0
2014-01-09 13:00:00,58140,2,0,30,110,0,0,0,1,0,0,0
2014-01-09 14:00:00,57305,0,0,20,107,0,0,0,7,0,0,0
2014-01-09 15:00:00,51020,5,0,24,103,0,0,0,3,0,0,0
2014-01-09 16:00:00,49729,5,0,17,93,0,0,0,1,0,0,0
2014-01-09 17:00:00,42926,0,0,15,57,0,0,0,0,0,0,0
2014-01-09 18:00:00,34250,0,0,5,54,0,0,0,2,0,0,0
2014-01-09 19:00:00,32530,1,0,11,51,0,0,0,2,0,0,0
2014-01-09 20:00:00,33938,0,0,17,53,0,0,0,4,0,0,0
2014-01-09 21:00:00,32638,6,0,10,35,0,0,0,0,0,0,0
2014-01-09 22:00:00,34674,0,0,7,38,0,0,0,5,0,0,0
2014-01-09 23:00:00,22242,0,0,10,27,0,0,0,0,0,0,0
2014-01-10 00:00:00,13103,0,0,6,13,0,0,0,1,0,1,0
2014-01-10 01:00:00,7991,0,0,0,6,0,0,0,0,0,0,0
2014-01-10 02:00:00,5947,0,0,0,7,0,0,0,1,0,0,0
2014-01-10 03:00:00,2532,0,0,0,3,0,0,0,0,0,0,0
2014-01-10 04:00:00,2150,0,0,0,6,0,0,0,0,0,0,0
2014-01-10 05:00:00,2731,0,0,0,4,0,0,0,0,0,0,0
2014-01-10 06:00:00,3725,0,0,0,11,0,0,0,0,0,0,0
2014-01-10 07:00:00,7812,0,0,1,26,0,0,0,0,0,0,0
2014-01-10 08:00:00,17600,0,0,7,61,0,0,0,1,0,0,0
2014-01-10 09:00:00,34639,1,0,39,111,0,0,0,1,0,0,0
2014-01-10 10:00:00,54315,0,0,25,147,0,0,0,7,0,0,0
2014-01-10 11:00:00,57375,1,0,35,143,0,0,0,5,0,0,0
2014-01-10 12:00:00,54893,2,1,14,147,0,0,0,0,0,0,0
2014-01-10 13:00:00,57050,5,0,37,173,0,0,0,3,0,0,0
2014-01-10 14:00:00,56034,10,0,23,111,0,0,0,2,0,0,0
2014-01-10 15:00:00,58596,2,0,22,116,0,0,0,6,0,0,0
2014-01-10 16:00:00,57039,0,0,22,109,0,0,0,0,0,0,0
2014-01-10 17:00:00,33418,0,0,10,60,0,0,0,2,0,0,0
